====================================================================================================
PE STRICT CURVE RESEARCH
CANDLES: 7951
PATTERN EVENTS: 1882

====================================================================================================
FINAL PE STRICT CURVE RESULTS
PE5_STRICT_ALL | NEXT 1 | SIGNALS 29 | WINS 14 | RATE 48.28 % | AVG MFE 0.0593 % | AVG MAE 0.0656 %
PE5_STRICT_ALL | NEXT 3 | SIGNALS 29 | WINS 14 | RATE 48.28 % | AVG MFE 0.1025 % | AVG MAE 0.0885 %
PE4_FULL_STAIR+EMA | NEXT 5 | SIGNALS 228 | WINS 110 | RATE 48.25 % | AVG MFE 0.1318 % | AVG MAE 0.1288 %
PE3_FULL_STAIR+EMA | NEXT 5 | SIGNALS 539 | WINS 260 | RATE 48.24 % | AVG MFE 0.1299 % | AVG MAE 0.1304 %
PE4_STRICT_ALL+EMA | NEXT 3 | SIGNALS 81 | WINS 39 | RATE 48.15 % | AVG MFE 0.1045 % | AVG MAE 0.0922 %
PE4_STRICT_ALL+EMA | NEXT 5 | SIGNALS 81 | WINS 39 | RATE 48.15 % | AVG MFE 0.1277 % | AVG MAE 0.115 %
PE3_LOWER_CLOSE | NEXT 3 | SIGNALS 1860 | WINS 895 | RATE 48.12 % | AVG MFE 0.0946 % | AVG MAE 0.0942 %
PE4_FULL_STAIR+STRONG | NEXT 1 | SIGNALS 183 | WINS 88 | RATE 48.09 % | AVG MFE 0.0637 % | AVG MAE 0.0602 %
PE5_LOWER_CLOSE+EMA | NEXT 5 | SIGNALS 258 | WINS 124 | RATE 48.06 % | AVG MFE 0.1331 % | AVG MAE 0.125 %
PE4_FULL_STAIR | NEXT 5 | SIGNALS 321 | WINS 154 | RATE 47.98 % | AVG MFE 0.1269 % | AVG MAE 0.1279 %
PE3_FULL_STAIR+NEAR_LOW+EMA | NEXT 5 | SIGNALS 338 | WINS 162 | RATE 47.93 % | AVG MFE 0.1279 % | AVG MAE 0.1284 %
PE3_FULL_STAIR+ACCEL | NEXT 3 | SIGNALS 378 | WINS 181 | RATE 47.88 % | AVG MFE 0.0977 % | AVG MAE 0.0964 %
PE5_FULL_STAIR+STRONG+EMA | NEXT 1 | SIGNALS 46 | WINS 22 | RATE 47.83 % | AVG MFE 0.0609 % | AVG MAE 0.0639 %
PE5_FULL_STAIR+STRONG+EMA | NEXT 5 | SIGNALS 46 | WINS 22 | RATE 47.83 % | AVG MFE 0.138 % | AVG MAE 0.1162 %
PE4_LOWER_CLOSE | NEXT 5 | SIGNALS 868 | WINS 414 | RATE 47.7 % | AVG MFE 0.121 % | AVG MAE 0.1243 %
