====================================================================================================
ADVANCED CURVE FILTER RESEARCH
CANDLES: 7951
CURVE SIGNALS: 183
MATCHED: 180

====================================================================================================
FINAL ADVANCED RESULTS

SIDE: CE
EMA+STRONG_70+TIME_MID_1100_1300 | SIGNALS 11 | RATE 45.45 % | AVG MFE 0.1348 % | AVG MAE 0.0785 %
STRONG_50+TIME_MID_1100_1300 | SIGNALS 27 | RATE 44.44 % | AVG MFE 0.1302 % | AVG MAE 0.0889 %
CURVE_ONLY | SIGNALS 88 | RATE 44.32 % | AVG MFE 0.1138 % | AVG MAE 0.1185 %
EMA+STRONG_50 | SIGNALS 43 | RATE 44.19 % | AVG MFE 0.1136 % | AVG MAE 0.113 %
TIME_OPEN_0915_1100 | SIGNALS 16 | RATE 43.75 % | AVG MFE 0.1089 % | AVG MAE 0.1508 %
EMA+STRONG_60 | SIGNALS 35 | RATE 42.86 % | AVG MFE 0.1054 % | AVG MAE 0.1166 %
EMA+STRONG_60+TIME_MID_1100_1300 | SIGNALS 14 | RATE 42.86 % | AVG MFE 0.1191 % | AVG MAE 0.085 %
STRONG_60+TIME_LATE_1430_CLOSE | SIGNALS 7 | RATE 42.86 % | AVG MFE 0.0974 % | AVG MAE 0.1098 %
EMA+STRONG_50+TIME_LATE_1430_CLOSE | SIGNALS 7 | RATE 42.86 % | AVG MFE 0.0992 % | AVG MAE 0.1339 %
TIME_AFTERNOON_1300_1430 | SIGNALS 19 | RATE 42.11 % | AVG MFE 0.0902 % | AVG MAE 0.152 %
EMA+STRONG_70 | SIGNALS 24 | RATE 41.67 % | AVG MFE 0.1135 % | AVG MAE 0.1249 %
STRONG_50 | SIGNALS 61 | RATE 40.98 % | AVG MFE 0.1059 % | AVG MAE 0.1196 %
STRONG_70+TIME_OPEN_0915_1100 | SIGNALS 5 | RATE 40.0 % | AVG MFE 0.1326 % | AVG MAE 0.1238 %
STRONG_70+TIME_LATE_1430_CLOSE | SIGNALS 5 | RATE 40.0 % | AVG MFE 0.0671 % | AVG MAE 0.1176 %
TIME_LATE_1430_CLOSE | SIGNALS 13 | RATE 38.46 % | AVG MFE 0.1045 % | AVG MAE 0.1386 %
STRONG_60 | SIGNALS 47 | RATE 38.3 % | AVG MFE 0.1011 % | AVG MAE 0.1167 %
STRONG_70+TIME_MID_1100_1300 | SIGNALS 16 | RATE 37.5 % | AVG MFE 0.1192 % | AVG MAE 0.0953 %
STRONG_60+TIME_MID_1100_1300 | SIGNALS 22 | RATE 36.36 % | AVG MFE 0.1112 % | AVG MAE 0.0981 %
STRONG_70 | SIGNALS 31 | RATE 35.48 % | AVG MFE 0.1048 % | AVG MAE 0.1229 %
STRONG_50+TIME_AFTERNOON_1300_1430 | SIGNALS 12 | RATE 33.33 % | AVG MFE 0.0666 % | AVG MAE 0.1582 %
STRONG_50+TIME_LATE_1430_CLOSE | SIGNALS 9 | RATE 33.33 % | AVG MFE 0.0792 % | AVG MAE 0.1405 %
STRONG_60+TIME_AFTERNOON_1300_1430 | SIGNALS 10 | RATE 30.0 % | AVG MFE 0.0634 % | AVG MAE 0.1633 %
EMA+STRONG_60+TIME_AFTERNOON_1300_1430 | SIGNALS 10 | RATE 30.0 % | AVG MFE 0.0634 % | AVG MAE 0.1633 %
EMA+STRONG_50+TIME_AFTERNOON_1300_1430 | SIGNALS 11 | RATE 27.27 % | AVG MFE 0.0601 % | AVG MAE 0.1689 %
STRONG_70+TIME_AFTERNOON_1300_1430 | SIGNALS 5 | RATE 20.0 % | AVG MFE 0.0685 % | AVG MAE 0.2156 %
EMA+STRONG_70+TIME_AFTERNOON_1300_1430 | SIGNALS 5 | RATE 20.0 % | AVG MFE 0.0685 % | AVG MAE 0.2156 %
